path,bit,flip_frac
head-adapt,133,0.166
head-adapt,134,0.1858
head-adapt,135,0.1694
head-adapt,136,0.1858
head-adapt,137,0.1924
head-adapt,138,0.2104
head-adapt,139,0.1772
head-adapt,140,0.1604
head-adapt,141,0.1356
head-adapt,142,0.1508
head-adapt,143,0.183
head-adapt,144,0.1792
head-adapt,145,0.1916
head-adapt,146,0.1486
head-adapt,147,0.187
head-adapt,148,0.162
head-adapt,149,0.1688
head-adapt,150,0.1644
head-adapt,151,0.1772
head-adapt,152,0.157
head-adapt,153,0.2074
head-adapt,154,0.161
head-adapt,155,0.1726
head-adapt,156,0.1714
head-adapt,157,0.1784
head-adapt,158,0.1658
head-adapt,159,0.1682
head-adapt,160,0.1666
head-adapt,161,0.154
head-adapt,162,0.2034
head-adapt,163,0.1706
head-adapt,164,0.1994
head-adapt,165,0.183
head-adapt,166,0.1786
head-adapt,167,0.1578
head-adapt,168,0.1498
head-adapt,169,0.1962
head-adapt,170,0.188
head-adapt,171,0.1564
head-adapt,172,0.1656
head-adapt,173,0.1516
head-adapt,174,0.1808
head-adapt,175,0.1948
head-adapt,176,0.1726
head-adapt,177,0.185
head-adapt,178,0.1706
head-adapt,179,0.1868
head-adapt,180,0.1682
head-adapt,181,0.1518
head-adapt,182,0.173
head-adapt,183,0.1646
head-adapt,184,0.1792
head-adapt,185,0.1948
head-adapt,186,0.1626
head-adapt,187,0.1994
head-adapt,188,0.162
head-adapt,189,0.1666
head-adapt,190,0.1826
head-adapt,191,0.1694
head-adapt,192,0.1818
head-adapt,193,0.172
head-adapt,194,0.1936
head-adapt,195,0.181
head-adapt,196,0.174
head-adapt,197,0.189
head-adapt,198,0.1658
head-adapt,199,0.1914
head-adapt,200,0.2154
head-adapt,201,0.1884
head-adapt,202,0.1904
head-adapt,203,0.185
head-adapt,204,0.1788
head-adapt,205,0.1626
head-adapt,206,0.1884
head-adapt,207,0.1358
head-adapt,208,0.1534
head-adapt,209,0.1564
head-adapt,210,0.1738
head-adapt,211,0.1826
head-adapt,212,0.1992
head-adapt,213,0.137
head-adapt,214,0.1864
head-adapt,215,0.165
head-adapt,216,0.1812
head-adapt,217,0.1754
head-adapt,218,0.162
